loan_word,original_word
অংক,अङ्क
অংগ,अङ्ग
অইন,अन्य
অক্ষ,अक्ष
অগ্নি,अग्नि
অজগৰ,अजगर
অট্টালিকা,अट्टालिका
অধিকাৰ,अधिकार
অনুবাদ,अनुवाद
অনুমতি,अनुमति
অন্ত,अन्त
অন্য,अन्य
অপমান,अपमान
অবৈধ,अवैध
অভাৱ,अभाव
অভ্যাস,अभ्यास
অযুত,अयुत
অলপ,अल्प
অশোক,अशोक
অস্থি,अस्थि
অৰ্থ,अर्थ
অৱতাৰ,अवतार
আকাশ,आकाश
আদৰ,आदर
ইতিহাস,इतिहास
ঈশ্বৰ,ईश्वर
উত্তৰ,उत्तर
উদ্ভিদ,उद्भिद्
উদ্যোগ,उद्योग
উপত্যকা,उपत्यका
উপন্যাস,उपन्यास
উপায়,उपाय
ঋতু,ऋतु
ঋষি,ऋषि
একতা,एकता
ঔষধ,औषध
কইনা,कन्या
কথা,कथा
কবি,कवि
কমলা,कमला
কলা,কল্য
কাঁচ,काच
কাচ,काच
কাশ্মীৰ,कश्मीर
কিন্তু,किन्तु
কিষ্ট,কৃষ্ণ
কুঠাৰ,कुठार
কুপতি,कपोती
কৃষ্ণ,कृष्ण
কেন্দ্ৰ,केन्द्र
কোটি,कोटि
ক্ৰিয়া,क्रिया
গণিত,गणित
গণেশ,गणेश
গুপ্ত,गुप्त
গুহা,गुहा
গুৰুবাৰ,गुरुवार
গোল,गोल
গৌৰৱ,गौरव
গ্ৰন্থ,ग्रन्थ
ঘনত্ব,घनत्व
ঘোষণা,घोषणा
চতুৰ্থ,चतुर्थ
চন,सन्
চন্দ্ৰ,चन्द्र
চিকিৎসক,चिकित्सक
চিন্তা,चिन्ता
চৰিত্ৰ,चरित्र
ছাত্ৰ,छात्र
জলপান,जलपान
জাতি,जाति
জীৱ,जीव
জীৱাণু,जीवाणु
তত্ব,तत्त्व
তথা,तथा
তথাপি,तथापि
তথ্য,तथ्य
তল,তল
তাপ,ताप
তাল,ताल
তিমি,तिमि
তৃতীয়,तृतीय
দুৱাৰ,द्वार
দেউতা,देवता
দেৱনাগৰী,देवनागरी
দৈনিক,দৈনিক
দ্বিতীয়,द्वितीय
দ্বীপ,द्वीप
দৰৱ,द्रव
ধাতু,धातु
ধৰণ,धरण
ধৰ্ম,धर्म
ধৰ্ষণ,धर्षण
নখ,नख
নগৰ,नगर
নতুন,नूतन
নদী,नदी
নাপিত,नापित
নিযুত,नियुत
পায়স,पायस
পুষ্প,पुष्प
পুৰুষ,पुरुष
পৃথিৱী,पृथिवी
প্ৰকল্প,प्रकल्प
প্ৰক্ৰিয়া,प्रक्रिया
প্ৰাণ,प्राण
পৰম্পৰা,परम्परा
পৰ্বত,पर्वत
ফল,फल
বলাৎকাৰ,बलात्कार
বস্তু,वस्तु
বা,বা
বাধা,बाधा
বায়ু,वायु
বাল,वाल
বাহু,बाहु
বিচাৰ,ৱিচাৰ
বিষ,विष
বিষয়,विषय
বুধবাৰ,बुधवार
বৃশ্চিক,वृश्चिक
বৃহস্পতিবাৰ,वृहस्पतिवार
বেগ,वेग
বেপাৰ,व्यापार
বেপাৰী,व्यापारी
ব্যাকৰণ,व्याकरण
ব্যাখ্যা,व्याख्या
ব্যৱহাৰ,व्यवहार
ব্ৰহ্মপুত্ৰ,ब्रह्नपुत्र
বৰ্তমান,वर्तमान
ভাগ,भाग
ভালুক,भल्लूक
ভাষা,भाषा
ভাৰত,भारत
ভাৰতীয়,भारतीय
ভাৰতীয়া,भारतीय
ভূত,भूत
ভূমিকম্প,भूमिकम्प
ভোক্তা,भोक्ता
মঙলবাৰ,मङ्गलवार
মধুকৰ,मधुकर
মন্ত্ৰী,मन्त्री
ময়ূৰ,मयूर
ময়ূৰী,मयूरी
মহিলা,महिला
মাংস,मांस
মান,मान
মানচিত্ৰ,मानचित्र
মুখ,मुख
মৃত্যু,मृत्यु
মেঘ,मेघ
যুদ্ধ,युद्ध
লতা,लता
লাভ,लाभ
লিপি,लिपि
লুইত,लोहित
শনিবাৰ,शनिवार
শব্দ,शब्द
শস্য,सस्य
শাক,शाक
শান্ত,शान्त
শিক্ষা,शिक्षा
শিপা,शिफा
শুকুৰবাৰ,शुक्रवार
শুক্ৰবাৰ,शुक्रवार
শূন্য,शून्य
শৈশৱ,शैशव
শ্রী,श्री
শ্ৰদ্ধা,श्रद्धा
শৰণাৰ্থী,शरणार्थी
সন্ধিয়া,सन्ध्या
সময়,समय
সমাধান,समाधान
সমান,समान
সাগৰ,सागर
সিংহ,सिंह
সুবিধা,सुविधा
সূৰুয,सुर्य
সূৰ্য্য,সূৰুয
সেৱা,सेवा
সোমবাৰ,सोमवार
স্বাধীনতা,स्वाधीनता
হিম,हिम
ৰং,रङ्ग
ৰচনা,रचना
ৰজা,राजन्
ৰবিবাৰ,रविवार
ৰস,रस
ৰাজ্য,राज्य
ৰাজ্যিক,राज्यिक
ৰাষ্ট্ৰ,राष्ट्र
ৰূপ,रौप्य
