loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,loan_unicode,original_unicode,label
abandon,abalone,abandɔn,abalɔn,abandon,abalone,0.2857142857142857,0.2857142857142857,0.1488095238095237,0.1607142857142857,1.3214285714285714,0.1607142857142857,3,Latin,Latin,hard_negative
abażur,abaïer,abaʐur,abaiʀ,shade,abayer,0.5,0.1666666666666666,0.2013888888888888,0.2291666666666666,1.7708333333333333,0.2152777777777778,2,Latin,Latin,hard_negative
abonować,adénomatose,abɔnɔvat͡ɕ,adenɔmatɔz,subscribe,adenomatosis,0.5,0.5,0.2354166666666666,0.2583333333333333,2.225,0.2541666666666666,7,Latin,Latin,hard_negative
abordaż,absidial,abɔrdaʂ,absidjal,boarding,absidial,0.5,0.5,0.2109375,0.234375,2.859375,0.2213541666666666,4,Latin,Latin,hard_negative
absenteista,hypertexte,apsɛntɛjsta,ipɛʀtɛkst,absentee,hypertext,0.4545454545454545,0.3636363636363636,0.2140151515151515,0.2348484848484848,2.238636363636364,0.231060606060606,7,Latin,Latin,hard_negative
absenteizm,apophthegme,apsɛntɛjzm,apɔftɛɡm,absenteeism,apophthegme,0.5,0.4,0.2375,0.2583333333333333,2.3625,0.2541666666666667,8,Latin,Latin,hard_negative
absentować,acceptatif,apsɛntɔvat͡ɕ,aksɛptatif,absent,accepting,0.5,0.4,0.1145833333333333,0.125,1.4875,0.1145833333333333,7,Latin,Latin,hard_negative
absolutysta,apostat,apsɔlutɨsta,apɔsta,absolutism,apostate,0.4545454545454545,0.4545454545454545,0.4128787878787878,0.4545454545454545,3.2954545454545454,0.4545454545454545,7,Latin,Latin,hard_negative
absolutyzm,apophthegme,apsɔlutɨzm,apɔftɛɡm,absolutism,apophthegme,0.5,0.4,0.2416666666666666,0.2666666666666667,2.2875,0.2604166666666666,8,Latin,Latin,hard_negative
absolutyzować,ploutocrate,apsɔlutɨzɔvat͡ɕ,plutɔkʀat,absolutize,ploutocrate,0.6,0.5384615384615384,0.3365384615384615,0.3717948717948717,3.019230769230769,0.3653846153846155,10,Latin,Latin,hard_negative
absorber,absorbant,apsɔrbɛr,absɔʀbɑ̃,absorber,absorbent,0.5,0.125,0.1536458333333333,0.1875,1.421875,0.1744791666666666,3,Latin,Latin,hard_negative
absorbować,acrobate,apsɔrbɔvat͡ɕ,akʀɔbat,absorb,acrobat,0.5833333333333334,0.5,0.3229166666666666,0.3625,2.85,0.35625,7,Latin,Latin,hard_negative
acetylen,attestataire,at͡sɛtɨlɛn,atɛstatɛʀ,acetylene,attester,0.5,0.4444444444444444,0.1666666666666666,0.1805555555555555,1.8194444444444444,0.1759259259259259,9,Latin,Latin,hard_negative
adaptacja,adaptationnel,adaptat͡sja,adaptasjɔnəl,adaptation,adaptive,0.5,0.3333333333333333,0.2447916666666666,0.2673611111111111,2.0416666666666665,0.2673611111111111,7,Latin,Latin,hard_negative
adaptator,adaptationnel,adaptatɔr,adaptasjɔnəl,adapter,adaptive,0.4166666666666667,0.25,0.2395833333333333,0.2708333333333333,2.020833333333333,0.2638888888888889,5,Latin,Latin,hard_negative
adekwatny,adactyle,adɛkfatnɨ,adaktil,adequate,adactyle,0.5555555555555556,0.4444444444444444,0.2523148148148148,0.2777777777777778,2.2777777777777777,0.2731481481481481,7,Latin,Latin,hard_negative
Adela,Abdallah,adɛla,abdala,Adela,Abdallah,0.3333333333333333,0.1666666666666666,0.1631944444444444,0.1805555555555555,1.3333333333333333,0.1805555555555555,4,Latin,Latin,hard_negative
adept,assette,adɛpt,asɛt,adept,trim,0.4,0.2,0.1958333333333333,0.2166666666666666,1.7,0.2166666666666666,4,Latin,Latin,hard_negative
adherent,atteinte,atxɛrɛnt,atɛ̃t,adherent,reached,0.5,0.5,0.4479166666666666,0.5052083333333333,3.6875,0.5052083333333333,5,Latin,Latin,hard_negative
admirator,adénomatose,admiratɔr,adenɔmatɔz,admirer,adenomatosis,0.5,0.4,0.15625,0.1875,1.675,0.1666666666666666,6,Latin,Latin,hard_negative
admirować,additivité,admirɔvat͡ɕ,aditivite,to admire,additivity,0.5454545454545454,0.4444444444444444,0.25,0.3009259259259259,2.583333333333333,0.25,7,Latin,Latin,hard_negative
adres,abbesse,adrɛs,abɛs,address,abbess,0.4,0.4,0.1875,0.225,1.675,0.2208333333333333,4,Latin,Latin,hard_negative
adresować,adénomatose,adrɛsɔvat͡ɕ,adenɔmatɔz,address,adenomatosis,0.5454545454545454,0.5,0.2208333333333333,0.2458333333333333,2.4625,0.23125,8,Latin,Latin,hard_negative
adstrat,Aostoise,atstrat,aɔstwaz,distance,Aostoise,0.4285714285714285,0.1428571428571428,0.1130952380952381,0.1369047619047619,2.232142857142857,0.1130952380952381,6,Latin,Latin,hard_negative
aeracja,Katia,aɛrat͡sja,kasja,aeration,Katia,0.5555555555555556,0.5714285714285714,0.306547619047619,0.3511904761904762,3.0535714285714284,0.3422619047619047,5,Latin,Latin,hard_negative
aerodynamika,autodynamique,aɛrɔdɨnamika,otɔdinamik,aerodynamics,autodynamics,0.4166666666666667,0.25,0.1805555555555555,0.2048611111111111,1.7083333333333333,0.1979166666666666,5,Latin,Latin,hard_negative
aeroplan,allopathe,aɛrɔplan,alɔpat,plane,allopathe,0.5,0.375,0.2578125,0.2916666666666666,2.34375,0.28125,6,Latin,Latin,hard_negative
aeroport,aéroporté,aɛrɔpɔrt,aeʀɔpɔʀte,airport,airborne,0.4444444444444444,0.1111111111111111,0.1412037037037037,0.1712962962962963,1.25,0.1527777777777778,2,Latin,Latin,hard_negative
aerostat,accostage,aɛrɔstat,akkɔstaʒ,aerostat,docking,0.375,0.25,0.1015624999999999,0.1197916666666666,2.0,0.1015624999999999,4,Latin,Latin,hard_negative
afazja,parazois,afazja,paʀazwa,aphasia,παραζουσ,0.4285714285714285,0.2857142857142857,0.181547619047619,0.2023809523809523,1.8392857142857144,0.1964285714285714,5,Latin,Latin,hard_negative
afereza,affaiteuse,afɛrɛza,afɛtœz,afereza,businesswoman,0.4285714285714285,0.2857142857142857,0.1636904761904762,0.1904761904761905,1.7142857142857142,0.1785714285714285,7,Latin,Latin,hard_negative
afisz,aphylle,afiʂ,afij,poster,aphylle,0.25,0.25,0.0572916666666666,0.0625,1.34375,0.0572916666666666,6,Latin,Latin,hard_negative
afiszer,Africaine,afiʂɛr,afʀikɛn,afiszer,African,0.4285714285714285,0.4285714285714285,0.1755952380952381,0.2083333333333333,1.7678571428571428,0.1934523809523809,7,Latin,Latin,hard_negative
