word,borrowed_word,ipas
آئرلینڈ,Ireland,[]
آسٹریا,Austria,"['/ɔːs.ʈə.ɾɪ.jɑː/', '/ɔːs.ʈɾɪ.jɑː/']"
ارجنٹائن,Argentina,['/əɾ.d͡ʒən.ʈɑː.iːn/']
اردلی,orderly,[]
اسٹیشن,station,[]
امریکا,America,[]
انٹرنیٹ,internet,[]
انڈیا,India,['/ɪn.ɖɪ.jɑː/']
انگلینڈ,England,['/ɪŋ.ɡlɛːnɖ/']
اٹاچی,attache,"['/ə.ʈɛː.t͡ʃiː/', '/ə.ʈɑː.t͡ʃiː/']"
اپریل,April,['/əp.ɾɛːl/']
اکتوبر,October,['/ək.t̪uː.bəɾ/']
ایتھنز,Athens,"['/eː.t̪ʰənz/', '/iː.t̪ʰənz/']"
ایجنٹ,agent,['/eː.d͡ʒəɳʈ/']
ایسٹر,Easter,[]
ایف ایم,FM,['/eːf‿eːm/']
ایلما,Alma,[]
اینٹورپن,Antwerpen,['/ɛːn.ʈʋəɾ.pən/']
ایڈز,AIDS,[]
ایڈس,AIDS,[]
بائبل,Bible,[]
بائیسکل,bicycle,['/bɑː.iː.sɪ.kəl/']
باٹھروم,bathroom,[]
برسلز,Brussels,['/bɾə.səlz/']
برمنگھم,Birmingham,['/bəɾ.mɪn.ɡʱəm/']
بور,بور,"['[buːɾ]', '[boːɾ]', '/bor/']"
بوچڑ,butcher,[]
بکس,box,['/bəks/']
جاپان,Japan,['/d͡ʒɑː.pɑːn/']
جرمنی,Germany,['/d͡ʒəɾ.mə.niː/']
جنرل,general,['/d͡ʒən.ɾəl/']
جیل,jail,['/d͡ʒeːl/']
راکٹ,rocket,['/ɾɑː.kɪʈ/']
روانڈا,Rwanda,['/ɾə.ʋɑːɳ.ɖɑː/']
روچڈیل,Rochdale,"['/ɾɑːt͡ʃ.ɖeːl/', '/ɾɔːt͡ʃ.ɖeːl/', '/ɾoːt͡ʃ.ɖeːl/']"
