loan_word,original_word,other_etymology,other_meaning
ایل,*ēl,turkic,clan
ایل,il,azerbaijani,year
باب,Bob,english,"A male given name, Bob, from English"
بادیه,*bādiyag,middle persian,large bowl
بار,bʾl,middle persian,"burden, load, charge"
بار,bʾl,middle persian,"time, turn, occasion"
بار,bʾl,middle persian,"bank, shore, coast"
بار,bar,french,bar
بار,bar,english,bar
باری,ʾpʾryk',middle persian,anyhow
بالغ,पात्र,sanskrit,drinking horn
بن,*buHnáh,middle persian,bottom
بن,ون,middle persian,bush
بن,Bonn,german,Bonn
بوم,𐭡𐭥𐭬,middle persian,"land, soil"
بین,wēn-,middle persian,present stem form of دیدن‎
ترس,*trāsás,proto-indo-iranian,fear
ترک,𐱅𐰇𐰼𐰜,middle persian,Turk
تمر,dəmir,turkic,iron
تمر,तिमिर,sanskrit,darkness
جاری,*h₁yenh₂tēr,proto-indo-european,co-sister-in-law
جبه,зевсег,mongolic,"iron armour, cuirass, coat of mail"
جدا,ywdtʾk',middle persian,divided
جلد,*yeh₂-,proto-indo-european,"nimble, agile"
جن,𐬫𐬀𐬊𐬥𐬀,avestan,side
خالی,Կարին,old armenian,carpet
خور,*húHar,proto-iranian,sun
در,𐭡𐭩𐭭,middle persian,at
دم,*ǵómbʰos,middle persian,breath
دور,*duHráh,proto-iranian,far
دیر,𐫅𐫃𐫡,middle persian,late
سام,*ćyaHmás,proto-indo-iranian,fire
سبک,*θrapuka-,middle persian,light
سر,𐭫𐭥𐭩𐭱𐭤,middle persian,head
سر,Sir,english,Sir
سرمه,*ḱel-,proto-indo-european,"kohl, collyrium"
سرمه,*sarmag,middle persian,orach
سرور,server,english,server
سلم,سَلِمَ,avestan,A male given name from Avestan
سم,*ćapʰás,middle persian,hoof
سن,scène,french,stage
سن,*sěno,proto-slavic,ivy
سن,Seine,french,the Seine
سند,सिन्ध,hindi,Sindh
سهم,*θráhma,middle persian,fear
شام,شب,persian,"dinner, supper"
شل,اشکل,mazanderani,thigh of a man
شوک,choc,french,shock
عرضه,اوزن,persian,competence
قاره,qarîn,northern kurdish,lamentation
قرص,қурч,middle iranian,"firm, solid"
لام,lame,french,microscope slide
لک,लाख,hindustani,lakh
ماده,NKḆ,middle persian,female
مدهوش,𐬨𐬀𐬜𐬀-,avestan,unconscious
مشاق,մշակ,armenian,"servant, domestic"
مهر,mtr',middle persian,kindness
مهر,𐫖𐫇𐫍𐫡,middle persian,seal
مورد,μύρτος,middle persian,myrtle
میلاد,𐎷𐎰𐎼𐎭𐎠𐎫,old persian,"A male given name, Milad"
نیل,𐭭𐭩𐭫,middle persian,indigo
ولی,ولیکن,classical persian,but
ون,van,english,van
ون,wn',middle persian,ash tree
وین,Vienne,french,Vienna
کبد,كَبِد,sogdian,isinglass
کره,*karag,middle persian,butter
کره,*kurna-ka-,middle persian,"colt, foal"
کره,Corée,french,Korea
کما,coma,french,"coma, a prolonged state of unconsciousness"
کما,קוֹמָּא,aramaic,various Ferula and what is now Dorema species
کیله,कुल्या,sanskrit,"brook, brooklet"
کیله,केला,hindi,banana
یا,𐫀𐫃𐫀𐫖,middle persian,or
ین,圓,chinese,yen
ین,*-ayHnah,middle persian,Suffix which forms adjectives of material or quality
