,loan_word,original_word,loan_word_epitran,original_word_epitran,loan_english,original_english,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,MBERT_cos_sim,XLM_cos_sim,loan_unicode_Latin,loan_unicode_Greek,loan_unicode_Cyrillic,loan_unicode_Arabic,loan_unicode_Devanagari,loan_unicode_Bengali,loan_unicode_Gurmukhi,loan_unicode_Tamil,loan_unicode_Telugu,loan_unicode_Malayalam,loan_unicode_Myanmar,loan_unicode_Chinese,original_unicode_Latin,original_unicode_Greek,original_unicode_Cyrillic,original_unicode_Arabic,original_unicode_Devanagari,original_unicode_Bengali,original_unicode_Gurmukhi,original_unicode_Tamil,original_unicode_Telugu,original_unicode_Malayalam,original_unicode_Myanmar,original_unicode_Chinese,label
47,ख़रीदना,خریدن,xəriːdnaː,xrjdn,to buy,to purchase,0.5555555555555556,0.4285714285714285,0.2738095238095238,0.3095238095238096,2.482142857142857,0.3035714285714285,7,-2.4258094,0.8139735,0.7404655,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
76,नजूमी,نجمی,nəd͡ʒuːmiː,nd͡ʒmj,najumi,نجمی,0.5,0.5,0.3194444444444445,0.3611111111111111,2.895833333333333,0.3541666666666667,5,-3.3423758,0.93162197,0.6272321,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
91,फ़ारसी,فارسی,faːrsiː,fɒrsj,Persian,Persian,0.5714285714285714,0.2,0.05,0.0583333333333333,0.875,0.05,6,-4.051083,0.73479867,0.75976944,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
121,बुत-ख़ाना,بت‌خانه,butə-xaːnaː,bt‌xɒnh,fetish,بت‌خانه,0.6363636363636364,0.375,0.2708333333333333,0.3020833333333333,2.703125,0.296875,9,-5.217496,0.9061971,0.7430053000000001,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
176,तपेदिक़,تپ دیق,təpediq,tp djɣ,consumptive,تپ دیق,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.3214285714285714,2.6607142857142856,0.3154761904761905,7,-3.3725572,0.9116909,0.31497762,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
181,सनसनीख़ेज़,خیز,sənsəniːxez,xjz,sensational,خیز,0.8181818181818182,0.8,0.6479166666666666,0.7166666666666667,5.3625,0.7125,10,-15.515049,0.9268628000000001,0.7895371999999999,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
230,मुअल्लिमी,معلمی,muallimiː,mʔlmj,Muallimi,Teacher,0.6666666666666666,0.5,0.3854166666666667,0.4322916666666667,3.625,0.421875,9,-1.7094611000000002,0.8882999,0.7498043000000001,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
232,फ़िरंगी,فرنگی,firəŋɡiː,frŋj,firangi,فرنگی,0.625,0.5714285714285714,0.4017857142857143,0.4523809523809524,3.5178571428571432,0.4464285714285714,7,-3.7744644,0.6834894,0.58603996,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
265,इफ़्तिताह,افتتاح,iftitaːɦ,ɒfttɒh,iftitah,Opening,0.625,0.1428571428571428,0.1755952380952381,0.1904761904761905,1.5714285714285714,0.1904761904761905,9,-3.2214932000000003,0.85974616,0.66203016,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
290,अगर,اگر,aɡər,ɒɡr,If,If,0.5,0.25,0.2447916666666666,0.2708333333333333,2.0625,0.2708333333333333,3,-3.5189943,0.81859535,0.72681195,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,loan
